date,league,home,away,market,selection,line,odds_open,stake,result,pnl,equity,p_model,p_mkt
2025-08-29,SP1,Elche,Levante,OU2.5,Over,2.5,2.3,4.503286999430475,LOSS,-4.503286999430475,705.2894823369327,0.5244332870370467,0.413265306122449
2025-08-29,SP1,Valencia,Getafe,1X2,H,,2.3,18.010361985865817,WIN,23.41347058162556,728.7029529185583,0.7956191897392273,0.4111855061047657
2025-08-29,I1,Cremonese,Sassuolo,OU2.5,Over,2.5,2.1,2.7143307084476387,WIN,2.985763779292403,731.6887166978506,0.5249686604341054,0.4516971279373368
2025-08-29,I1,Lecce,Milan,OU2.5,Over,2.5,2.0,3.159002772999938,LOSS,-3.159002772999938,728.5297139248507,0.5539676692579169,0.4805194805194806
2025-08-30,I1,Bologna,Como,1X2,A,,3.1,12.492271008660106,LOSS,-12.492271008660106,716.0374429161907,0.6129773855209351,0.30625
2025-08-30,F1,Nantes,Auxerre,1X2,H,,2.2,13.239342944701125,WIN,15.887211533641352,731.924654449832,0.7066782116889954,0.43029595015576316
2025-08-30,SP1,Alaves,Ath Madrid,OU2.5,Over,2.5,2.2,5.187066745780818,LOSS,-5.187066745780818,726.7375877040512,0.5511848120551759,0.43152454780361754
2025-08-30,I1,Pisa,Roma,OU2.5,Over,2.5,2.03,3.414850471729363,LOSS,-3.414850471729363,723.3227372323219,0.5522148179686476,0.47409326424870474
2025-08-30,SP1,Girona,Sevilla,1X2,A,,3.0,27.691448076236238,WIN,55.382896152472476,778.7056333847943,0.9713944792747498,0.31654676258992803
2025-08-30,SP1,Oviedo,Sociedad,1X2,D,,3.1,17.81766804061463,LOSS,-17.81766804061463,760.8879653441796,0.7100837230682373,0.306420233463035
2025-08-30,I1,Parma,Atalanta,OU2.5,Over,2.5,1.93,3.8531292572017595,LOSS,-3.8531292572017595,757.0348360869779,0.5791387429554222,0.5
2025-08-30,D1,RB Leipzig,Heidenheim,1X2,D,,5.0,17.020722980212238,LOSS,-17.020722980212238,740.0141131067656,0.6496681571006775,0.1896733403582719
2025-08-30,E0,Chelsea,Fulham,AH,Home,-1.0,1.95,11.425174605682473,WIN,10.853915875398348,750.868028982164,0.8136856237284414,
2025-08-30,D1,Augsburg,Bayern Munich,OU2.5,Under,2.5,3.4,4.182912360035155,LOSS,-4.182912360035155,746.6851166221288,0.39242533578978434,0.28118393234672306
2025-08-30,D1,Werder Bremen,Leverkusen,1X2,H,,3.7,9.947196817003546,LOSS,-9.947196817003546,736.7379198051252,0.513303279876709,0.25569843227056543
2025-08-30,D1,Stuttgart,M'gladbach,OU2.5,Under,2.5,3.0,6.195965272581979,WIN,12.391930545163959,749.1298503502892,0.4734999856805904,0.3181818181818181
2025-08-30,D1,Hoffenheim,Ein Frankfurt,1X2,A,,2.25,21.717206676945313,WIN,27.14650834618164,776.2763586964709,0.8470820784568787,0.4199475065616798
2025-08-30,E0,Leeds,Newcastle,1X2,H,,3.5,11.16398976983569,LOSS,-11.16398976983569,765.1123689266352,0.542526125907898,0.27055702917771884
2025-08-30,E0,Wolves,Everton,1X2,A,,2.75,11.832222268109643,WIN,20.706388969191874,785.818757895827,0.6096654534339905,0.34747637241101953
2025-08-30,E0,Tottenham,Bournemouth,1X2,A,,4.2,20.26361772450349,WIN,64.84357671841117,850.6623346142383,0.7292691469192505,0.2258485639686684
2025-08-31,I1,Torino,Fiorentina,OU2.5,Over,2.5,2.3,6.507153104029392,LOSS,-6.507153104029392,844.1551815102089,0.5428735618452758,0.413265306122449
2025-08-31,I1,Genoa,Juventus,OU2.5,Over,2.5,2.3,8.226496069865775,LOSS,-8.226496069865775,835.9286854403431,0.5724871075256689,0.413265306122449
2025-08-31,D1,Dortmund,Union Berlin,OU2.5,Under,2.5,2.63,3.763443792015936,LOSS,-3.763443792015936,832.1652416483272,0.44998518109363456,0.36319612590799033
2025-08-31,E0,Nott'm Forest,West Ham,1X2,A,,5.25,33.286609665933085,WIN,141.4680910802156,973.6333327285428,1.0,0.1803845322963923
2025-08-31,E0,Liverpool,Arsenal,1X2,D,,3.5,16.32278627267037,LOSS,-16.32278627267037,957.3105464558724,0.5850860476493835,0.27139552814186585
2025-08-31,I1,Inter,Udinese,AH,Home,-1.5,1.93,23.167831006657394,WIN,21.546082836191374,978.8566292920639,0.9845987493597935,
